DATAFLOW,FREQ,REF_AREA,ITEM,COVERAGE_GEO,COVERAGE_POP,SEASONAL_ADJUST,IND_TYPE,TRANSFORMATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_COMMENT,UNIT_MULT,BASE_PER,TIME_FORMAT,DECIMALS
SPC:DF_CPI(1.0),A,CK,_T,_T,_T,N,IX,N,2015,130.9878978,A,,-2,2006-Q4,P1Y,1
SPC:DF_CPI(1.0),A,CK,_T,_T,_T,N,IX,N,2016,130.627324,A,,-2,2006-Q4,P1Y,1
SPC:DF_CPI(1.0),A,CK,_T,_T,_T,N,IX,N,2017,130.5119994,A,,-2,2006-Q4,P1Y,1
SPC:DF_CPI(1.0),A,CK,_T,_T,_T,N,IX,N,2018,130.6513851,A,,-2,2006-Q4,P1Y,1
SPC:DF_CPI(1.0),A,CK,_T,_T,_T,N,RA,GY,2005,2.448403383,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,CK,_T,_T,_T,N,RA,GY,2006,3.362968068,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,CK,_T,_T,_T,N,RA,GY,2007,2.531707429,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,CK,_T,_T,_T,N,RA,GY,2008,7.828404816,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,CK,_T,_T,_T,N,RA,GY,2009,6.653113083,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,CK,_T,_T,_T,N,RA,GY,2010,-0.250953842,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,CK,_T,_T,_T,N,RA,GY,2011,2.195980763,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,CK,_T,_T,_T,N,RA,GY,2012,2.980739031,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,CK,_T,_T,_T,N,RA,GY,2013,1.875685823,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,CK,_T,_T,_T,N,RA,GY,2014,2.111580481,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,CK,_T,_T,_T,N,RA,GY,2015,1.910579569,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,CK,_T,_T,_T,N,RA,GY,2016,-0.275272571,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,CK,_T,_T,_T,N,RA,GY,2017,-0.088285196,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,CK,_T,_T,_T,N,RA,GY,2018,0.106799081,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,CK,_T,_T,_T,N,RA,G1,2005,2.448403383,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,CK,_T,_T,_T,N,RA,G1,2006,3.362968068,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,CK,_T,_T,_T,N,RA,G1,2007,2.531707429,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,CK,_T,_T,_T,N,RA,G1,2008,7.828404816,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,CK,_T,_T,_T,N,RA,G1,2009,6.653113083,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,CK,_T,_T,_T,N,RA,G1,2010,-0.250953842,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,CK,_T,_T,_T,N,RA,G1,2011,2.195980763,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,CK,_T,_T,_T,N,RA,G1,2012,2.980739031,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,CK,_T,_T,_T,N,RA,G1,2013,1.875685823,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,CK,_T,_T,_T,N,RA,G1,2014,2.111580481,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,CK,_T,_T,_T,N,RA,G1,2015,1.910579569,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,CK,_T,_T,_T,N,RA,G1,2016,-0.275272571,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,CK,_T,_T,_T,N,RA,G1,2017,-0.088285196,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,CK,_T,_T,_T,N,RA,G1,2018,0.106799081,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,_T,_T,_T,N,IX,N,2012,96.675,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,_T,_T,_T,N,IX,N,2013,99.49166667,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,_T,_T,_T,N,IX,N,2014,100.0083333,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,_T,_T,_T,N,IX,N,2015,101.3833333,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,_T,_T,_T,N,IX,N,2016,105.3,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,_T,_T,_T,N,IX,N,2017,108.825,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,_T,_T,_T,N,IX,N,2018,113.2666667,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,_T,_T,_T,N,RA,GY,2005,2.3,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,_T,_T,_T,N,RA,GY,2006,2.5,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,_T,_T,_T,N,RA,GY,2007,4.8,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,_T,_T,_T,N,RA,GY,2008,7.8,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,_T,_T,_T,N,RA,GY,2009,3.6,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,_T,_T,_T,N,RA,GY,2010,5.6,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,_T,_T,_T,N,RA,GY,2011,8.7,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,_T,_T,_T,N,RA,GY,2012,3.4,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,_T,_T,_T,N,RA,GY,2013,2.913541936,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,_T,_T,_T,N,RA,GY,2014,0.519306475,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,_T,_T,_T,N,RA,GY,2015,1.374885426,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,_T,_T,_T,N,RA,GY,2016,3.863225382,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,_T,_T,_T,N,RA,GY,2017,3.347578348,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,_T,_T,_T,N,RA,GY,2018,4.081476376,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,_T,_T,_T,N,RA,G1,2013,2.913541936,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,_T,_T,_T,N,RA,G1,2014,0.519306475,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,_T,_T,_T,N,RA,G1,2015,1.374885426,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,_T,_T,_T,N,RA,G1,2016,3.863225382,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,_T,_T,_T,N,RA,G1,2017,3.347578348,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,_T,_T,_T,N,RA,G1,2018,4.081476376,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP01,_T,_T,N,IX,N,2012,94.775,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP01,_T,_T,N,IX,N,2013,98.1,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP01,_T,_T,N,IX,N,2014,100.0083333,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP01,_T,_T,N,IX,N,2015,104.7666667,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP01,_T,_T,N,IX,N,2016,111.0416667,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP01,_T,_T,N,IX,N,2017,108.6416667,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP01,_T,_T,N,IX,N,2018,112.375,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP01,_T,_T,N,RA,GY,2013,3.508309153,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP01,_T,_T,N,RA,GY,2014,1.945293918,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP01,_T,_T,N,RA,GY,2015,4.757936839,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP01,_T,_T,N,RA,GY,2016,5.989500477,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP01,_T,_T,N,RA,GY,2017,-2.161350844,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP01,_T,_T,N,RA,GY,2018,3.436373399,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP01,_T,_T,N,RA,G1,2013,3.508309153,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP01,_T,_T,N,RA,G1,2014,1.945293918,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP01,_T,_T,N,RA,G1,2015,4.757936839,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP01,_T,_T,N,RA,G1,2016,5.989500477,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP01,_T,_T,N,RA,G1,2017,-2.161350844,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP01,_T,_T,N,RA,G1,2018,3.436373399,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP02,_T,_T,N,IX,N,2012,84.15,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP02,_T,_T,N,IX,N,2013,91.75,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP02,_T,_T,N,IX,N,2014,99.99166667,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP02,_T,_T,N,IX,N,2015,109.7583333,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP02,_T,_T,N,IX,N,2016,139.5333333,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP02,_T,_T,N,IX,N,2017,183.875,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP02,_T,_T,N,IX,N,2018,219.5916667,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP02,_T,_T,N,RA,GY,2013,9.031491384,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP02,_T,_T,N,RA,GY,2014,8.982742961,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP02,_T,_T,N,RA,GY,2015,9.767480623,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP02,_T,_T,N,RA,GY,2016,27.12778073,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP02,_T,_T,N,RA,GY,2017,31.77854754,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP02,_T,_T,N,RA,GY,2018,19.42442783,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP02,_T,_T,N,RA,G1,2013,9.031491384,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP02,_T,_T,N,RA,G1,2014,8.982742961,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP02,_T,_T,N,RA,G1,2015,9.767480623,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP02,_T,_T,N,RA,G1,2016,27.12778073,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP02,_T,_T,N,RA,G1,2017,31.77854754,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP02,_T,_T,N,RA,G1,2018,19.42442783,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP03,_T,_T,N,IX,N,2012,95.38333333,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP03,_T,_T,N,IX,N,2013,98.29166667,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP03,_T,_T,N,IX,N,2014,100,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP03,_T,_T,N,IX,N,2015,102.1166667,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP03,_T,_T,N,IX,N,2016,103.2916667,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP03,_T,_T,N,IX,N,2017,103.525,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP03,_T,_T,N,IX,N,2018,104.1083333,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP03,_T,_T,N,RA,GY,2013,3.049100122,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP03,_T,_T,N,RA,GY,2014,1.738024587,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP03,_T,_T,N,RA,GY,2015,2.116666667,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP03,_T,_T,N,RA,GY,2016,1.150644687,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP03,_T,_T,N,RA,GY,2017,0.225897539,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP03,_T,_T,N,RA,GY,2018,0.563470981,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP03,_T,_T,N,RA,G1,2013,3.049100122,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP03,_T,_T,N,RA,G1,2014,1.738024587,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP03,_T,_T,N,RA,G1,2015,2.116666667,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP03,_T,_T,N,RA,G1,2016,1.150644687,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP03,_T,_T,N,RA,G1,2017,0.225897539,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP03,_T,_T,N,RA,G1,2018,0.563470981,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP04,_T,_T,N,IX,N,2012,99.125,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP04,_T,_T,N,IX,N,2013,99.84166667,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP04,_T,_T,N,IX,N,2014,100.0083333,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP04,_T,_T,N,IX,N,2015,95.55,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP04,_T,_T,N,IX,N,2016,90.725,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP04,_T,_T,N,IX,N,2017,92.525,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP04,_T,_T,N,IX,N,2018,94.43333333,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP04,_T,_T,N,RA,GY,2013,0.722992854,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP04,_T,_T,N,RA,GY,2014,0.166930974,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP04,_T,_T,N,RA,GY,2015,-4.457961837,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP04,_T,_T,N,RA,GY,2016,-5.049712193,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP04,_T,_T,N,RA,GY,2017,1.984017636,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP04,_T,_T,N,RA,GY,2018,2.062505629,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP04,_T,_T,N,RA,G1,2013,0.722992854,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP04,_T,_T,N,RA,G1,2014,0.166930974,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP04,_T,_T,N,RA,G1,2015,-4.457961837,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP04,_T,_T,N,RA,G1,2016,-5.049712193,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP04,_T,_T,N,RA,G1,2017,1.984017636,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP04,_T,_T,N,RA,G1,2018,2.062505629,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP05,_T,_T,N,IX,N,2012,96.45,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP05,_T,_T,N,IX,N,2013,96.00833333,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP05,_T,_T,N,IX,N,2014,100,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP05,_T,_T,N,IX,N,2015,100.3416667,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP05,_T,_T,N,IX,N,2016,99.93333333,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP05,_T,_T,N,IX,N,2017,100.75,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP05,_T,_T,N,IX,N,2018,100.475,A,,-2,2014,P1Y,1
